REL_NUM_COMP_ALUNOS;ID_MOD_ATIV_COMPLEMENTAR;IDADE_MESES;TP_SEXO;TP_COR_RACA_PRETA;ID_ZONA_RESIDENCIAL;ID_N_T_E_P;EVADIU;filter_$
458;0;186;1;0;1;1;0;0
21;0;200;1;0;1;1;0;0
21;0;208;0;0;0;0;1;1
458;0;240;0;0;1;1;0;0
54;0;190;0;0;1;1;0;0
369;1;186;0;0;1;1;0;0
369;1;211;0;0;0;0;0;0
369;1;184;1;0;0;0;0;0
369;1;270;1;0;0;0;1;0
28;0;203;0;0;1;1;1;0
28;0;219;1;0;1;1;0;0
28;0;183;0;0;1;1;0;1
182;0;179;1;0;1;1;0;0
182;0;203;1;0;1;1;0;0
69;0;246;1;0;1;1;1;1
60;1;206;1;0;0;0;0;0
60;1;191;0;0;0;0;0;0
540;0;187;0;0;0;0;0;0
60;1;190;1;0;1;1;0;0
540;0;206;0;0;0;0;0;0
540;0;190;1;0;0;0;0;0
540;0;231;0;0;0;0;1;0
112;1;187;0;0;0;1;0;0
141;0;201;1;0;1;1;0;0
141;0;201;0;0;0;1;0;0
141;0;213;0;0;0;0;0;0
141;0;204;1;0;1;1;0;0
45;0;198;1;0;1;1;0;0
75;0;172;0;0;1;1;0;0
75;0;186;1;0;1;1;1;0
45;0;187;0;0;1;1;0;0
54;0;212;1;0;0;0;0;0
54;0;207;0;0;1;1;0;0
54;0;193;0;0;1;1;0;0
54;0;183;0;0;1;1;0;0
54;0;199;1;0;1;1;0;0
54;0;206;0;0;1;1;0;0
54;0;178;0;0;1;1;0;0
91;0;178;0;0;1;1;0;0
91;0;202;0;0;1;1;1;0
141;0;296;0;0;0;0;1;1
141;0;228;1;0;0;0;0;0
141;0;222;1;0;0;0;0;0
141;0;190;1;0;0;0;0;0
141;0;192;1;0;0;0;0;1
141;0;209;1;0;0;0;0;0
141;0;191;0;0;0;0;0;0
141;0;187;0;0;0;0;0;0
141;0;204;0;0;0;0;0;0
141;0;208;0;0;0;0;0;0
60;1;197;0;0;0;0;0;0
540;0;187;1;0;0;1;0;0
60;1;211;1;0;1;0;0;0
180;0;202;1;0;0;0;0;1
46;0;191;0;0;1;1;0;0
46;0;188;0;0;0;0;0;0
141;0;202;0;0;0;0;0;0
45;0;184;1;0;1;1;0;0
45;0;181;0;0;1;1;0;0
45;0;187;0;0;1;1;0;0
45;0;184;1;0;1;1;0;0
91;0;219;0;0;1;1;0;0
91;0;187;0;0;1;1;0;0
91;0;202;0;0;1;1;0;0
57;0;196;1;0;1;1;0;0
91;0;193;0;0;1;1;0;0
141;0;182;0;0;0;0;0;0
141;0;207;1;0;0;0;1;0
75;0;210;1;0;1;1;0;0
75;0;196;0;0;1;1;0;0
75;0;206;1;0;1;1;0;1
141;0;191;0;0;1;1;0;0
46;0;192;0;0;1;1;0;0
59;0;243;1;0;1;1;1;0
59;0;214;0;0;0;0;0;0
59;0;214;1;0;0;0;0;1
59;0;205;1;0;0;0;1;0
59;0;206;0;0;1;1;0;0
45;0;189;1;0;1;1;0;1
45;0;183;1;0;1;1;0;0
45;0;187;1;0;1;1;0;0
134;0;192;1;0;0;0;0;0
134;0;200;1;0;0;0;0;0
134;0;183;0;0;0;0;0;1
134;0;182;0;0;0;0;0;0
311;0;185;1;0;0;0;0;0
458;0;193;0;0;0;0;0;1
458;0;191;0;0;1;1;0;0
458;0;194;0;0;0;0;0;0
57;0;198;1;0;1;1;0;0
57;0;187;1;0;1;1;0;0
91;0;192;0;0;1;1;0;0
46;0;199;1;0;1;1;0;0
292;0;186;1;0;0;1;0;0
292;0;188;1;0;0;0;0;0
69;0;209;1;0;0;0;0;1
134;0;209;1;0;0;0;0;1
134;0;190;0;0;0;0;0;0
134;0;193;0;0;1;1;0;0
134;0;198;0;0;1;1;0;0
69;0;186;0;0;1;1;0;0
69;0;198;0;0;1;1;0;0
69;0;186;0;0;1;1;0;0
475;1;196;0;0;0;0;0;0
59;0;249;0;0;1;1;0;0
59;0;236;0;0;1;1;1;0
59;0;191;0;0;0;0;0;0
59;0;182;0;0;0;0;0;0
59;0;194;1;0;0;0;0;0
59;0;178;0;0;0;0;0;0
59;0;240;0;0;1;1;0;0
59;0;192;1;0;0;0;0;0
59;0;194;0;0;0;0;0;0
55;0;192;0;0;1;1;0;0
55;0;197;0;0;1;1;0;1
55;0;190;1;0;1;1;0;0
55;0;220;0;0;0;0;0;0
55;0;193;0;0;1;1;0;1
458;0;225;1;0;0;0;0;0
458;0;190;1;0;1;1;0;0
458;0;183;0;0;1;1;0;0
458;0;193;0;0;1;1;0;1
311;0;191;1;0;0;0;0;0
311;0;207;0;0;0;1;0;0
311;0;183;0;0;0;1;1;0
311;0;201;0;0;0;1;0;0
37;0;214;1;0;0;0;1;0
37;0;198;0;0;0;0;0;1
37;0;185;1;0;0;1;0;0
37;0;214;1;0;0;1;1;0
96;0;196;1;0;0;1;0;0
475;1;187;0;0;0;0;0;0
475;1;193;0;0;0;0;0;1
475;1;173;0;0;0;0;0;1
475;1;170;0;0;0;0;0;1
475;1;193;1;0;0;0;0;0
214;0;181;0;0;0;1;0;0
214;0;191;0;0;0;1;0;0
475;1;221;0;0;0;0;1;1
214;0;182;0;0;0;1;0;0
54;0;190;1;0;0;0;0;0
54;0;185;1;0;1;1;0;0
55;0;199;1;0;1;1;0;0
55;0;199;0;0;1;1;0;0
59;0;215;1;0;0;0;1;0
49;1;202;0;0;0;0;0;0
59;0;194;0;0;0;0;0;0
49;1;197;0;0;0;0;1;0
134;0;192;0;0;0;0;0;0
134;0;195;0;0;1;1;0;0
54;0;191;1;0;1;1;0;0
134;0;189;0;0;0;0;0;0
54;0;205;0;0;0;0;0;0
54;0;190;0;0;0;0;0;0
54;0;188;1;0;0;0;0;0
41;0;182;0;0;0;0;0;0
277;0;184;0;0;0;1;0;0
277;0;215;1;0;0;1;1;0
277;0;197;1;0;0;1;1;0
277;0;192;0;0;0;1;1;0
143;0;184;0;0;1;1;0;1
60;1;186;0;0;1;1;0;0
60;1;189;0;0;1;1;0;0
60;1;211;1;0;1;1;0;0
60;1;194;1;0;1;0;0;0
54;0;183;0;0;1;1;0;0
60;1;186;1;0;0;0;0;0
55;0;251;0;0;0;1;0;0
46;0;185;1;0;1;1;0;0
46;0;192;1;0;1;1;0;0
27;0;169;0;0;1;1;0;0
27;0;192;1;0;1;1;1;0
41;0;189;0;0;0;0;0;0
91;0;200;0;0;1;1;0;0
91;0;196;0;0;0;0;0;0
91;0;208;1;0;1;1;1;0
91;0;219;0;0;1;1;0;0
91;0;231;1;0;1;1;0;0
91;0;189;0;0;1;1;0;0
46;0;181;1;0;1;1;0;0
46;0;184;0;0;0;0;0;1
41;1;229;0;0;0;0;1;0
41;1;187;0;0;0;0;0;0
43;0;205;0;0;1;1;0;0
41;1;182;1;0;1;1;0;0
1250;0;240;0;0;1;1;0;0
1250;0;187;1;0;0;0;0;0
1250;0;222;1;0;1;1;1;0
41;1;184;1;0;1;1;0;0
59;0;182;0;0;0;0;0;0
59;0;190;0;1;1;1;0;0
46;0;195;0;0;1;1;0;1
46;0;194;1;0;1;1;0;0
46;0;202;1;0;0;0;0;1
46;0;232;0;0;0;0;0;0
46;0;193;1;0;0;0;0;0
27;0;175;1;0;0;1;0;0
59;0;210;0;0;1;1;0;0
59;0;216;1;0;1;1;0;0
59;0;182;0;0;1;1;0;0
27;0;196;1;0;1;1;0;0
50;0;208;1;0;1;1;1;0
41;1;184;0;0;0;0;0;0
46;0;182;1;0;1;1;0;0
46;0;188;0;0;0;0;0;0
41;1;206;0;0;0;0;0;0
41;1;204;1;0;0;0;0;0
41;1;219;1;0;0;0;0;0
41;1;183;0;0;0;0;0;0
41;1;229;1;0;0;0;0;0
57;0;204;0;0;1;1;0;1
46;0;187;1;0;0;1;0;0
46;0;201;0;0;1;1;0;0
41;1;166;0;0;1;1;0;0
41;1;209;0;0;0;1;0;0
41;1;194;0;0;1;1;0;0
19;0;200;1;0;0;0;0;0
19;0;188;1;0;0;0;0;0
19;0;211;0;0;1;1;0;0
19;0;189;0;0;1;1;1;0
19;0;241;0;0;1;1;1;0
820;0;235;1;0;0;0;1;0
59;0;196;0;0;0;0;0;0
59;0;208;0;0;0;0;1;0
46;0;204;0;0;0;0;0;1
143;0;209;1;0;0;0;0;0
143;0;206;0;0;0;0;0;0
143;0;186;0;0;1;1;0;0
143;0;224;0;0;1;1;0;0
50;0;210;0;0;0;0;0;0
50;0;193;0;0;0;0;0;0
58;0;201;1;0;1;1;0;0
58;0;188;0;0;0;0;0;0
91;0;207;0;0;1;1;0;0
57;0;189;1;0;1;1;1;0
57;0;198;0;0;0;0;0;0
91;0;211;1;0;1;1;0;1
91;0;235;1;0;0;1;1;0
91;0;200;0;0;1;1;0;1
91;0;207;1;0;1;1;0;1
820;0;187;0;0;0;0;0;0
27;1;207;0;0;0;0;1;0
27;1;200;0;0;0;0;0;0
27;1;200;1;0;0;0;0;0
105;0;190;0;0;0;0;0;0
27;1;188;1;0;0;0;0;1
548;0;200;0;0;0;0;0;0
548;0;196;0;0;0;0;0;1
548;0;202;0;0;1;0;1;0
548;0;197;0;0;0;0;0;0
548;0;187;0;0;0;0;0;1
548;0;204;0;0;0;0;0;0
548;0;200;0;0;0;0;0;0
277;0;204;1;0;0;0;1;0
25;0;218;0;0;1;1;1;1
24;0;186;1;0;1;1;0;0
91;0;180;0;0;0;0;0;0
91;0;208;1;0;0;0;0;0
91;0;194;0;0;0;1;0;1
91;0;196;0;0;0;0;0;0
91;0;223;0;0;1;1;1;0
91;0;207;0;0;0;0;0;0
91;0;200;0;0;1;1;0;0
105;0;200;1;0;0;1;0;0
105;0;287;1;0;0;0;0;0
105;0;187;1;0;0;0;0;0
105;0;178;0;0;0;0;0;0
105;0;192;0;0;0;1;0;0
27;1;194;1;0;1;1;0;0
27;1;184;0;0;1;1;0;0
27;1;188;0;0;1;0;0;0
19;0;214;1;0;1;1;0;1
27;1;189;0;0;1;0;0;0
